Original Folder Name,New Folder Name
CC(C)C12OC1C1OC13C1(C)CCC4=C(COC4=O)C1CC1OC13C2O,53
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,54
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,55
CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C,56
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,57
CC(C)Cn1cnc2c(N)nc3ccccc3c21,58
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,59
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,60
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,61
CC1OC1P(=O)(O)O,62
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,63
CC(C)NCC(O)c1ccc(O)c(O)c1,64
CC(C)Oc1ccc(C(=O)NC(CNC(=O)CN(C)C)Cc2ccc(-c3cn4cccc(C(C)O)c4n3)cc2)cc1Cl,65
CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,66
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,67
CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,68
CC(C=CC(=O)NO)=CC(C)C(=O)c1ccc(N(C)C)cc1,69
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,70
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,71
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,72
CC(N)(Cc1ccc(O)cc1)C(=O)O,73
CC(NC(=O)C(O)C(C)C)C(=O)NC1C(=O)N(C)CCc2ccccc21,74
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,75
CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,76
CC(Nc1nc(NC(C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,77
CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,78
CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,79
CC(Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,80
CC(c1cc2ccccc2s1)N(O)C(N)=O,81
CC1(C)C(C(=O)O)N2C(=O)CC2S1(=O)=O,82
CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(NC4CCC(OC(=O)CN)CC4)c3)c2C1,83
CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O,84
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,85
CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,86
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,87
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,88
CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,89
CC12C(=O)OC(=O)C1(C)C1CCC2O1,90
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,91
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,92
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,93
CC12CC3CC(C)(C1)CC(N)(C3)C2,94
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,95
CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,96
CC12CCC3C(CCC45OC4C(O)=C(C#N)CC35C)C1CCC2O,97
CC12CCC3C(CCC4=CC(=O)C=CC43C)C1CCC(=O)O2,98
CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,99
CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,100
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,101
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl,102
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1(O)C(=O)CCl,103
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,104
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO,105
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,106
