idx,SMILES,target_id1,target_id2,geos
27,Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CC[C@@H](N)CC2)n1,P53779_WT,P49841_WT,"['0.72', '-2.79', '-1.62', '-0.05', '-3.01', '1.97', '2.34']"
28,N[C@H]1CC[C@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,P53779_WT,P49841_WT,"['2.48', '-1.52', '3.14', '0.24', '1.23', '0.64', '-2.82']"
29,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)c1C,P53779_WT,P49841_WT,"['-0.29', '3.04', '0.47', '-2.13', '2.65', '-2.56', '-1.50', '-0.77', '2.49', '-0.90', '0.75']"
30,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4C)ccn3)cc2)c1,P53779_WT,P49841_WT,"['-2.21', '-3.14', '2.52', '0.77', '-3.09', '3.14', '3.11', '-0.84', '-2.04', '-3.14']"
31,CCC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,P53779_WT,P49841_WT,"['-0.09', '-3.14', '-2.77', '-1.23', '2.60', '-2.71', '-1.38', '0.66', '-1.36', '-2.74', '2.24']"
32,N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2ncn[nH]2)c1,P53779_WT,P49841_WT,"['2.71', '-1.62', '3.14', '-3.14', '0.16', '3.14']"
33,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c(C)c2)c1,P53779_WT,P49841_WT,"['-2.29', '3.14', '0.01', '-2.25', '-3.14', '0.17', '0.24', '0.93', '1.97', '2.37', '0.12']"
34,CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)ncc32)cs1,P53779_WT,P49841_WT,"['-0.01', '-3.14', '0.13', '0.30', '0.44']"
35,CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,P53779_WT,P49841_WT,"['0.10', '3.12', '-0.10', '-2.65', '0.43']"
36,N#Cc1ccc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3ncn[nH]3)c2c1,P53779_WT,P49841_WT,"['1.12', '-1.80', '-2.51', '-2.88', '-0.55', '3.04']"
37,CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['0.06', '-3.14', '-2.96', '0.37', '0.45']"
38,O=C(N[C@@H]1CCOC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['-0.76', '-0.50', '-0.73', '-2.89', '-0.30', '-0.49']"
39,CC(C)NC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['-0.67', '1.06', '-2.70', '2.96', '0.18', '0.60']"
40,O=C(NC1CCOCC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['0.60', '0.35', '-2.38', '0.11', '0.36', '0.47']"
41,N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2nnc[nH]2)c1,P53779_WT,P49841_WT,"['-2.47', '1.70', '-3.05', '-2.93', '-0.48', '-3.14']"
42,N#Cc1ccc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3nnc[nH]3)c2c1,P53779_WT,P49841_WT,"['-1.64', '1.63', '3.10', '3.14', '0.10', '-3.09']"
43,CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](CO)CC3)n1,P53779_WT,P49841_WT,"['-3.14', '3.13', '0.12', '0.71', '0.84', '0.91']"
44,NC(=O)c1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl,P53779_WT,P49841_WT,"['0.66', '0.16', '-0.89', '0.29', '-0.31']"
45,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,P53779_WT,P49841_WT,"['-3.09', '-0.05', '-3.10', '0.06', '-1.28', '-1.63', '-0.29', '0.41', '0.72']"
46,CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['-1.31', '-0.91', '-0.99', '-1.38', '-2.99', '3.04', '-0.03', '0.64', '-0.59', '-0.37']"
47,C=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1,P53779_WT,P49841_WT,"['-0.38', '2.73', '-2.62', '-1.25', '2.75', '0.53', '0.48', '0.40', '-2.07', '0.89', '0.04']"
48,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)cc1,P53779_WT,P49841_WT,"['0.55', '3.14', '-2.78', '2.26', '2.71', '0.38', '2.95', '1.03', '-1.16', '3.12', '2.54']"
49,Cn1cnc(-c2c(Br)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,P53779_WT,P49841_WT,"['2.86', '-0.08', '0.04', '0.28', '1.64']"
50,C=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1C,P53779_WT,P49841_WT,"['0.34', '-3.14', '0.32', '-2.15', '-3.14', '3.06', '0.08', '0.70', '-1.21', '2.58', '-0.37']"
51,CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1,P53779_WT,P49841_WT,"['0.18', '1.51', '0.60']"
52,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)[C@@H]1CCOC1,P53779_WT,P49841_WT,"['0.13', '-1.74', '-0.14', '1.15', '2.51', '1.25']"
53,COCCNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['2.01', '0.80', '3.14', '-0.01', '-2.71', '-2.99', '-0.26', '-0.54']"
54,COc1ccc(CCNc2nccc(C(C#N)=C3Nc4ccccc4S3)n2)cc1,P53779_WT,P49841_WT,"['-0.22', '-1.60', '0.90', '1.60', '3.14', '0.60', '-1.51', '-0.03']"
55,COc1ccc(CCNc2nccc([C@@H](C#N)c3nc4ccccc4s3)n2)cc1,P53779_WT,P49841_WT,"['2.82', '1.55', '-0.81', '-1.70', '3.14', '-1.33', '1.33', '-1.16']"
56,NC(=O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['-0.44', '-2.25', '-0.46', '-0.34']"
57,NC(=O)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['-2.76', '2.46', '-0.48', '-0.41']"
58,O=C(NCCCN1CCOCC1)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['-0.50', '-3.14', '0.75', '-2.92', '-1.05', '-1.25', '-3.14', '-3.14', '0.70']"
59,O=C(NCCCN1CCOCC1)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['-0.05', '-2.62', '-1.73', '-1.07', '-2.81', '1.37', '-0.87', '-2.56', '0.29']"
60,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(-n4ccnn4)cc3)n2)cc1,P53779_WT,P49841_WT,"['0.93', '1.22', '-1.04', '-2.32', '2.22', '3.14']"
61,C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)cc1,P53779_WT,P49841_WT,"['-0.01', '-3.14', '-0.03', '-2.18', '-2.80', '-0.66', '-0.30', '1.10', '-2.29', '0.70', '0.02']"
62,COc1c(-c2cnn(C)c2)ccc2cnc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)nc12,P53779_WT,P49841_WT,"['1.69', '0.69', '2.77', '0.25', '0.23', '-3.14']"
63,CC(=O)N1CC[C@@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)c(F)cc43)cs2)C1,P53779_WT,P49841_WT,"['-3.12', '-2.76', '-0.09', '3.04', '3.14', '0.51', '0.42']"
64,O=C(NCC(F)F)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['-0.29', '-0.18', '2.07', '-2.31', '-2.93', '0.39', '0.46']"
